"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"1400","Tech:","","uncovered","Tech","src/components/devices/DevicesManagementModule.tsx:636; src/components/followup/CompletedDeviceFollowUpModule.tsx:457; src/components/pipeline/StatusPipelineView.tsx:639; src/components/pipeline/StatusPipelineView.tsx:844"
"1401","Tel:","","uncovered","Tel","src/components/common/PrintableInvoiceModal.tsx:239; src/components/pos/PosInvoicingModule.tsx:1328"
"1402","Telegram","","uncovered","Telegram","src/components/common/CustomerNotificationModal.tsx:178"
"1403","Telegram Admin Chat ID / Channel ID","","uncovered","Telegram Admin Chat ID Channel","src/components/settings/SystemManagementSettingsModule.tsx:3116"
"1404","Telegram Bot & Store Alerts Integration","","uncovered","Telegram Bot Store Alerts Integration","src/components/settings/SystemManagementSettingsModule.tsx:3102"
"1405","Telegram Bot Token","","uncovered","Telegram Bot Token","src/components/settings/SystemManagementSettingsModule.tsx:3106"
"1406","Tell us what you need or when you'd like us to call you back...","","uncovered","Tell us what you need or when d like to call back","src/components/portal/CustomerFacingWebPortal.tsx:1049"
"1407","Tendered","","uncovered","Tendered","src/components/pos/PosInvoicingModule.tsx:1215"
"1408","Terms & Authorization:","","uncovered","Terms Authorization","src/components/common/DeviceTagPrinterModal.tsx:487"
"1409","Test Presets","","uncovered","Test Presets","src/components/common/CameraQrScannerModal.tsx:302"
"1410","Testing & Quote","","uncovered","Testing Quote","src/components/portal/CustomerFacingWebPortal.tsx:489"
"1411","Text size","","uncovered","Text size","src/components/settings/SystemManagementSettingsModule.tsx:2850"
"1412","Th","","uncovered","Th","src/components/common/DateFilterSelector.tsx:318"
"1413","Thank you for choosing","","uncovered","Thank you for choosing","src/components/common/PrintableInvoiceModal.tsx:476"
"1414","THB (฿ Thai Baht)","","uncovered","THB Thai Baht","src/components/settings/SystemManagementSettingsModule.tsx:2086"
"1415","The assistant sends a compact live operational summary to the selected provider. API credentials are used only for requests initiated from this ERP assistant. For shared production use, keep keys in server-side secrets instead of browser-synced settings.","","uncovered","The assistant sends a compact live operational summary to the selected provider API credentials are used only for requests initiated from this ERP For shared production use keep keys in server side secrets instead of browser synced settings","src/components/settings/SystemManagementSettingsModule.tsx:1051"
"1416","These tickets have been inactive for over 48 hours. Consider reassigning technicians or updating customer status.","","uncovered","These tickets have been inactive for over hours Consider reassigning technicians or updating customer status","src/components/dashboard/DashboardOverview.tsx:1057"
"1417","this period","","uncovered","this period","src/components/dashboard/TechnicianDetailModal.tsx:137"
"1418","This Period Completions","","uncovered","This Period Completions","src/components/dashboard/TechnicianPerformanceTab.tsx:257"
"1419","This Period vs Baseline","","uncovered","This Period vs Baseline","src/components/dashboard/TechnicianPerformanceTab.tsx:240"
"1420","This will permanently remove all","","uncovered","This will permanently remove all","src/components/common/RecycleBinModal.tsx:236"
"1421","Throughput","","uncovered","Throughput","src/components/dashboard/TechnicianPerformanceTab.tsx:208"
"1422","ticket","","uncovered","ticket","src/components/dashboard/DashboardOverview.tsx:645"
"1423","Ticket","","uncovered","Ticket","src/components/common/CustomerNotificationModal.tsx:122; src/components/finance/ShopFinancePlModule.tsx:1196; src/components/finance/ShopFinancePlModule.tsx:1359; src/components/pipeline/StatusPipelineView.tsx:1188"
"1424","Ticket / Voucher Prefix Format","","uncovered","Ticket Voucher Prefix Format","src/components/settings/SystemManagementSettingsModule.tsx:1999"
"1425","Ticket detail sections","","uncovered","Ticket detail sections","src/components/common/TicketDetailInspectorModal.tsx:216"
"1426","Ticket details","","uncovered","Ticket details","src/components/intake/IntakeWorkOrderModule.tsx:625"
"1427","Ticket Intake","","uncovered","Ticket Intake","src/components/portal/CustomerFacingWebPortal.tsx:473"
"1428","Ticket Outcome:","","uncovered","Ticket Outcome","src/components/common/WorkOrderStatusTimeline.tsx:388"
"1429","tickets","","uncovered","tickets","src/components/dashboard/DashboardOverview.tsx:1111; src/components/dashboard/DashboardOverview.tsx:1483; src/components/dashboard/DashboardOverview.tsx:1743; src/components/finance/ShopFinancePlModule.tsx:838"
"1430","Tickets","","uncovered","Tickets","src/components/dashboard/DashboardOverview.tsx:865; src/components/dashboard/DashboardOverview.tsx:1384; src/components/dashboard/DashboardOverview.tsx:1455; src/components/dashboard/TechnicianDetailModal.tsx:161"
"1431","Tickets currently held in the trash vault.","","uncovered","Tickets currently held in the trash vault","src/components/settings/SystemManagementSettingsModule.tsx:3326"
"1432","Tickets Fully Settled","","uncovered","Tickets Fully Settled","src/components/dashboard/DashboardOverview.tsx:1606"
"1433","tickets matching filters)","","uncovered","tickets matching filters","src/components/pipeline/StatusPipelineView.tsx:405"
"1434","Tickets)","","uncovered","Tickets","src/components/devices/DevicesManagementModule.tsx:593"
"1435","Tied-Up Capital Asset Value","","uncovered","Tied Up Capital Asset Value","src/components/finance/ShopFinancePlModule.tsx:551"
"1436","Tier:","","uncovered","Tier","src/components/suppliers/SupplierRmaModule.tsx:265"
"1437","tiers","","uncovered","tiers","src/components/settings/SystemManagementSettingsModule.tsx:2498"
"1438","to","","uncovered","to","src/components/common/DateFilterSelector.tsx:360"
"1439","to proceed with the repair for","","uncovered","to proceed with the repair for","src/components/portal/CustomerFacingWebPortal.tsx:951"
"1440","to see real color options","","uncovered","to see real color options","src/components/intake/CreateTicketSoloPage.tsx:823"
"1441","Toggle Bottlenecks (>48h stationary)","","uncovered","Toggle Bottlenecks h stationary","src/App.tsx:1392"
"1442","Toggle Chronological Order","","uncovered","Toggle Chronological Order","src/components/crm/CustomerRepairTimeline.tsx:235"
"1443","Track Repair Voucher","","uncovered","Track Repair Voucher","src/components/portal/CustomerFacingWebPortal.tsx:289"
"1444","Track serial numbers, Find My status, warranty history, and technical service dossier for all registered devices.","","uncovered","Track serial numbers Find My status warranty history and technical service dossier for all registered devices","src/components/devices/DevicesManagementModule.tsx:255"
"1445","Track vendor shipments, defective part returns, and vendor credit authorizations","","uncovered","Track vendor shipments defective part returns and credit authorizations","src/components/suppliers/SupplierRmaModule.tsx:165"
"1446","Tracking tied-up capital in unsold screen displays, batteries, chips & slow vs fast movers","","uncovered","Tracking tied up capital in unsold screen displays batteries chips slow vs fast movers","src/components/finance/ShopFinancePlModule.tsx:749"
"1447","Transitions Only","","uncovered","Transitions Only","src/components/common/WorkOrderStatusTimeline.tsx:548"
"1448","Try adjusting search keywords or selecting a different filter option above.","","uncovered","Try adjusting search keywords or selecting a different filter option above","src/components/common/WorkOrderStatusTimeline.tsx:677"
"1449","Try another search term or check folder visibility toggles in settings.","","uncovered","Try another search term or check folder visibility toggles in settings","src/components/devices/DeviceModelChooserModal.tsx:232"
"1450","Try clearing search or picking another device model.","","uncovered","Try clearing search or picking another device model","src/components/prices/QuickPriceCalculatorModal.tsx:397"
"1451","Try resetting the search query or date filters","","uncovered","Try resetting the search query or date filters","src/components/devices/DevicesManagementModule.tsx:526"
"1452","Try resetting the search query or quality tier selection.","","uncovered","Try resetting the search query or quality tier selection","src/components/inventory/InventoryManagementModule.tsx:1171"
"1453","Try searching another term or choose a different model.","","uncovered","Try searching another term or choose a different model","src/components/prices/PriceCatalogModule.tsx:497"
"1454","Try searching with a different keyword or ticket number.","","uncovered","Try searching with a different keyword or ticket number","src/components/common/RecycleBinModal.tsx:154"
"1455","Tu","","uncovered","Tu","src/components/common/DateFilterSelector.tsx:316"
"1456","Turnaround","","uncovered","Turnaround","src/components/dashboard/TechnicianPerformanceTab.tsx:219"
"1457","Turquoise","","uncovered","Turquoise","src/components/settings/SystemManagementSettingsModule.tsx:1646"
"1458","Unique Apple hardware part SKUs registered","","uncovered","Unique Apple hardware part SKUs registered","src/components/inventory/InventoryManagementModule.tsx:1061"
"1459","Unique Identifier","","uncovered","Unique Identifier","src/components/portal/CustomerFacingWebPortal.tsx:269"
"1460","unit cost","","uncovered","unit cost","src/components/finance/ShopFinancePlModule.tsx:1289"
"1461","units","","uncovered","units","src/components/inventory/InventoryManagementModule.tsx:1250; src/components/inventory/InventoryManagementModule.tsx:2124"
"1462","Units","","uncovered","Units","src/components/finance/ShopFinancePlModule.tsx:1320"
"1463","Units Sold","","uncovered","Units Sold","src/components/finance/ShopFinancePlModule.tsx:1277"
"1464","Unpaid balances to parts vendors","","uncovered","Unpaid balances to parts vendors","src/components/finance/ShopFinancePlModule.tsx:568"
"1465","Unsold Displays, Batteries & Chips","","uncovered","Unsold Displays Batteries Chips","src/components/finance/ShopFinancePlModule.tsx:552"
"1466","Urgent","","uncovered","Urgent","src/components/common/TicketDetailInspectorModal.tsx:145; src/components/dashboard/DashboardOverview.tsx:1197; src/components/intake/IntakeWorkOrderModule.tsx:698"
"1467","USD ($ United States Dollar)","","uncovered","USD United States Dollar","src/components/settings/SystemManagementSettingsModule.tsx:2085"
"1468","used parts worth","","uncovered","used parts worth","src/components/dashboard/DashboardOverview.tsx:645"
"1469","user@applerepairpro.com","","uncovered","user applerepairpro com","src/components/settings/SystemManagementSettingsModule.tsx:3592"
"1470","v2.4.0","","uncovered","v","src/components/Navigation.tsx:470"
"1471","Verified QA Pass Bounties & Rates","","uncovered","Verified QA Pass Bounties Rates","src/components/finance/ShopFinancePlModule.tsx:586"
"1472","Verified ticket payouts based on commission rates and zero-warranty QA passes","","uncovered","Verified ticket payouts based on commission rates and zero warranty QA passes","src/components/finance/ShopFinancePlModule.tsx:809"
"1473","Viber","","uncovered","Viber","src/components/common/CustomerNotificationModal.tsx:152"
"1474","Visible)","","uncovered","Visible","src/components/prices/PriceSettingsModal.tsx:476"
"1475","Voucher #:","","uncovered","Voucher","src/components/common/DeviceTagPrinterModal.tsx:242"
"1476","Voucher Header Subtitle","","uncovered","Voucher Header Subtitle","src/components/settings/SystemManagementSettingsModule.tsx:2946"
"1477","Voucher Number","","uncovered","Voucher Number","src/components/portal/CustomerFacingWebPortal.tsx:1158"
"1478","Voucher Text & Disclaimer Customization","","uncovered","Voucher Text Disclaimer Customization","src/components/settings/SystemManagementSettingsModule.tsx:2784"
"1479","Warranty","","uncovered","Warranty","src/components/common/DeviceTagPrinterModal.tsx:323; src/components/inventory/InventoryManagementModule.tsx:1896"
"1480","Warranty & Policy Guarantee","","uncovered","Warranty Policy Guarantee","src/components/common/PrintableInvoiceModal.tsx:390"
